,user_id_str,type
167,55498924,"['locality', 'political'] ['store', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['neighborhood', 'political']"
168,55498924,"['locality', 'political'] ['bank', 'finance', 'point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['neighborhood', 'political']"
169,53541705,"['locality', 'political'] ['neighborhood', 'political']"
170,14397810,"['route'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment']"
171,55498924,no coordinate
172,55498924,no coordinate
173,191738379,"['route'] ['point_of_interest', 'establishment'] ['bar', 'point_of_interest', 'establishment'] ['hardware_store', 'store', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment']"
174,55498924,no coordinate
175,55498924,no coordinate
176,36204274,"['route'] ['point_of_interest', 'establishment'] ['locality', 'political']"
177,55498924,no coordinate
178,883377606,"['route'] ['locality', 'political']"
179,62536337,"['locality', 'political'] ['food', 'point_of_interest', 'establishment'] ['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'] ['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'] ['neighborhood', 'political']"
180,37575049,"['locality', 'political'] ['neighborhood', 'political']"
181,883377606,"['route'] ['locality', 'political']"
182,62536337,"['locality', 'political'] ['neighborhood', 'political']"
183,53541705,"['locality', 'political'] ['neighborhood', 'political']"
184,53541705,"['locality', 'political'] ['neighborhood', 'political']"
185,53541705,"['locality', 'political'] ['neighborhood', 'political']"
186,160932283,Bus
187,148017981,"['route'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['store', 'food', 'point_of_interest', 'establishment']"
188,148017981,"['route'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['store', 'food', 'point_of_interest', 'establishment']"
189,14397810,"['locality', 'political'] ['point_of_interest', 'establishment'] ['shopping_mall', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment']"
190,62536337,"['locality', 'political'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment'] ['neighborhood', 'political']"
191,7376602,School
192,148017981,"['route'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['store', 'food', 'point_of_interest', 'establishment']"
193,62536337,"['route'] ['locality', 'political']"
194,7376602,Playground
195,55498924,"['locality', 'political'] ['bank', 'finance', 'point_of_interest', 'establishment'] ['bank', 'finance', 'point_of_interest', 'establishment'] ['hospital', 'health', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment']"
196,55498924,no coordinate
197,53541705,"['locality', 'political'] ['neighborhood', 'political']"
198,53893147,"['route'] ['convenience_store', 'store', 'food', 'point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['locality', 'political']"
199,14397810,"['locality', 'political'] ['shopping_mall', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment']"
200,53541705,"['route'] ['liquor_store', 'store', 'food', 'point_of_interest', 'establishment'] ['cafe', 'store', 'food', 'point_of_interest', 'establishment'] ['cafe', 'food', 'point_of_interest', 'establishment'] ['premise', 'point_of_interest', 'establishment']"
201,36204274,"['route'] ['point_of_interest', 'establishment'] ['locality', 'political']"
202,53541705,"['locality', 'political'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment']"
203,7376602,"['locality', 'political'] ['neighborhood', 'political']"
204,55498924,no coordinate
205,30035884,"['locality', 'political'] ['sublocality_level_1', 'sublocality', 'political']"
206,30035884,Control Point
207,53541705,"['route'] ['point_of_interest', 'establishment'] ['locality', 'political']"
208,14397810,"['locality', 'political'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment']"
209,883377606,"['locality', 'political'] ['doctor', 'health', 'point_of_interest', 'establishment'] ['neighborhood', 'political']"
210,62536337,"['locality', 'political'] ['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment']"
211,37575049,"['locality', 'political'] ['neighborhood', 'political']"
212,62536337,"['route'] ['point_of_interest', 'establishment'] ['health', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['locality', 'political']"
213,30035884,"['locality', 'political'] ['point_of_interest', 'establishment'] ['neighborhood', 'political']"
214,53541705,"['route'] ['point_of_interest', 'establishment'] ['locality', 'political']"
215,7376602,"['locality', 'political'] ['bakery', 'store', 'food', 'point_of_interest', 'establishment'] ['neighborhood', 'political']"
216,1651882188,"['locality', 'political']"
217,160932283,"['locality', 'political'] ['convenience_store', 'store', 'food', 'point_of_interest', 'establishment'] ['atm', 'finance', 'point_of_interest', 'establishment'] ['store', 'point_of_interest', 'establishment'] ['transit_station', 'point_of_interest', 'establishment']"
218,883377606,"['route'] ['locality', 'political']"
219,160932283,MTR
220,30035884,"['locality', 'political'] ['premise', 'lodging', 'point_of_interest', 'establishment'] ['sublocality_level_1', 'sublocality', 'political']"
221,30035884,"['locality', 'political'] ['sublocality_level_1', 'sublocality', 'political']"
222,30035884,"['locality', 'political'] ['insurance_agency', 'point_of_interest', 'establishment'] ['hospital', 'premise', 'point_of_interest', 'establishment'] ['sublocality_level_1', 'sublocality', 'political']"
223,30035884,"['locality', 'political'] ['sublocality_level_1', 'sublocality', 'political']"
224,160932283,MTR
225,55498924,no coordinate
226,160932283,MTR
227,55498924,"['locality', 'political'] ['clothing_store', 'store', 'point_of_interest', 'establishment'] ['neighborhood', 'political']"
228,160932283,MTR
229,55498924,no coordinate
230,55498924,no coordinate
231,55498924,no coordinate
232,14397810,"['locality', 'political'] ['neighborhood', 'political']"
233,14397810,"['locality', 'political'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['hair_care', 'point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['neighborhood', 'political']"
234,30035884,"['locality', 'political'] ['store', 'point_of_interest', 'establishment'] ['store', 'point_of_interest', 'establishment'] ['sublocality_level_1', 'sublocality', 'political']"
235,96273306,"['route'] ['point_of_interest', 'establishment'] ['lodging', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['clothing_store', 'store', 'point_of_interest', 'establishment']"
236,30035884,"['locality', 'political'] ['sublocality_level_1', 'sublocality', 'political']"
237,30035884,"['locality', 'political'] ['premise', 'lodging', 'point_of_interest', 'establishment'] ['sublocality_level_1', 'sublocality', 'political']"
238,14397810,"['locality', 'political'] ['point_of_interest', 'establishment'] ['neighborhood', 'political']"
239,55498924,no coordinate
240,55498924,"['locality', 'political'] ['store', 'point_of_interest', 'establishment'] ['neighborhood', 'political']"
241,53541705,"['route'] ['locality', 'political']"
242,55498924,"['locality', 'political'] ['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment']"
243,14282045,"['route'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['locality', 'political']"
244,53893147,"['route'] ['locality', 'political']"
245,30035884,"['locality', 'political'] ['train_station', 'premise', 'transit_station', 'point_of_interest', 'establishment'] ['locality', 'political']"
246,30035884,Immigration Port
247,30035884,Control Point
248,30035884,MTR
249,30035884,MTR
250,55498924,no coordinate
